stock,cik,date,positive,negative,neutral,positive_ratio,negative_ratio,neutral_ratio
AAPL,320193,2019_09_28,18.0587,43.1947,3.7466,27.78,66.45,5.76
AAPL,320193,2020_09_26,19.4815,43.3441,4.1744,29.08,64.69,6.23
AAPL,320193,2021_09_25,20.9849,34.4208,5.5943,34.4,56.43,9.17
AAPL,320193,2022_09_24,21.4173,33.636,3.9467,36.3,57.01,6.69
AAPL,320193,2023_09_30,22.0235,30.8923,2.0841,40.04,56.17,3.79
AAPL,320193,2024_09_28,21.513,31.3597,3.1274,38.42,56.0,5.58
AMZN,1018724,2018_12_31,17.1149,49.0518,8.8333,22.82,65.4,11.78
AMZN,1018724,2019_12_31,16.4679,51.6957,7.8364,21.67,68.02,10.31
AMZN,1018724,2020_12_31,15.8956,46.5461,8.5583,22.39,65.56,12.05
AMZN,1018724,2021_12_31,17.2021,46.0152,7.7826,24.23,64.81,10.96
AMZN,1018724,2022_12_31,18.303,49.0955,7.6015,24.4,65.46,10.14
AMZN,1018724,2023_12_31,18.9673,53.7919,7.2408,23.71,67.24,9.05
AVGO,1730168,2019_11_03,34.0375,94.9201,14.0424,23.8,66.38,9.82
AVGO,1730168,2020_11_01,33.6245,87.2032,15.1723,24.72,64.12,11.16
AVGO,1730168,2021_10_31,30.6314,74.097,15.2715,25.53,61.75,12.73
AVGO,1730168,2022_10_30,34.1119,63.5686,15.3194,30.19,56.26,13.56
AVGO,1730168,2023_10_29,34.0626,62.3674,13.57,30.97,56.7,12.34
AVGO,1730168,2024_11_03,26.2713,65.8289,16.8998,24.1,60.39,15.5
"GOOG, GOOGL",1652044,2018_12_31,0.0,3.9999,0.0001,0.0,100.0,0.0
"GOOG, GOOGL",1652044,2019_12_31,22.4654,58.5011,11.0336,24.42,63.59,11.99
"GOOG, GOOGL",1652044,2020_12_31,26.0235,61.2251,11.7514,26.29,61.84,11.87
"GOOG, GOOGL",1652044,2021_12_31,25.6376,58.5723,9.7901,27.27,62.31,10.42
"GOOG, GOOGL",1652044,2022_12_31,26.0497,54.0548,10.8954,28.63,59.4,11.97
"GOOG, GOOGL",1652044,2023_12_31,27.3318,58.3442,12.324,27.89,59.53,12.58
INTC,50863,2018_12_29,18.6069,66.124,30.2691,16.18,57.5,26.32
INTC,50863,2019_12_28,21.5214,59.6872,33.7914,18.71,51.9,29.38
INTC,50863,2020_12_26,26.3298,62.2685,38.4017,20.73,49.03,30.24
INTC,50863,2021_12_25,28.2937,63.8117,36.8946,21.93,49.47,28.6
INTC,50863,2022_12_31,33.4699,63.2508,37.2793,24.98,47.2,27.82
INTC,50863,2023_12_30,37.9033,63.7002,34.3965,27.87,46.84,25.29
INTC,50863,2024_12_28,37.2137,66.4015,28.3849,28.19,50.3,21.5
META,1326801,2018_12_31,33.2958,53.5267,4.1775,36.59,58.82,4.59
META,1326801,2019_12_31,37.2555,65.3706,3.374,35.15,61.67,3.18
META,1326801,2020_12_31,45.3802,71.2925,3.3273,37.82,59.41,2.77
META,1326801,2021_12_31,47.6944,67.3888,6.9168,39.09,55.24,5.67
META,1326801,2022_12_31,51.804,76.0066,5.1894,38.95,57.15,3.9
META,1326801,2023_12_31,56.9604,77.0501,7.9895,40.11,54.26,5.63
META,1326801,2024_12_31,59.0715,79.0725,7.856,40.46,54.16,5.38
MSFT,789019,2019_06_30,18.8398,61.0061,17.1541,19.42,62.89,17.68
MSFT,789019,2020_06_30,20.5085,59.5393,18.9521,20.72,60.14,19.14
MSFT,789019,2021_06_30,21.6578,59.6121,20.7301,21.23,58.44,20.32
MSFT,789019,2022_06_30,22.7075,56.8431,22.4494,22.26,55.73,22.01
MSFT,789019,2023_06_30,20.2346,59.4223,20.3431,20.23,59.42,20.34
MSFT,789019,2024_06_30,23.0715,60.9207,21.0077,21.97,58.02,20.01
NVDA,1045810,2019_01_27,13.3141,52.5739,15.112,16.44,64.91,18.66
NVDA,1045810,2020_01_26,12.8215,53.1654,10.0131,16.87,69.95,13.18
NVDA,1045810,2021_01_31,20.0716,53.9728,13.9556,22.81,61.33,15.86
NVDA,1045810,2022_01_30,23.7464,51.1722,14.0814,26.68,57.5,15.82
NVDA,1045810,2023_01_29,28.4934,52.2564,11.2502,30.97,56.8,12.23
NVDA,1045810,2024_01_28,35.27,48.6129,15.1172,35.63,49.1,15.27
TSLA,1318605,2018_12_31,31.513,121.5595,18.9275,18.32,70.67,11.0
TSLA,1318605,2019_12_31,28.4337,117.7302,9.8361,18.23,75.47,6.31
TSLA,1318605,2020_12_31,27.2456,107.6801,14.0743,18.29,72.27,9.45
TSLA,1318605,2021_12_31,0.0011,40.2812,0.7177,0.0,98.25,1.75
TSLA,1318605,2022_12_31,24.7254,79.6028,13.6718,20.95,67.46,11.59
TSLA,1318605,2023_12_31,25.4051,70.1511,16.4438,22.68,62.63,14.68
TSLA,1318605,2024_12_31,25.2545,65.3311,17.4145,23.38,60.49,16.12
